"x","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000167286",-599.76203254886,195.620488548458,-15.1093228445567,1.43188836995301e-11,2.19595684040588e-09,-3.92940951545492
"ENSG00000116824",-467.667161468649,158.528522923682,-15.1085523403975,1.43309559023703e-11,2.19595684040588e-09,-3.92941491207353
"ENSG00000123146",-655.267188687029,229.579761042835,-15.0559558671621,1.51808900552198e-11,2.2981672716125e-09,-3.92978506227356
"ENSG00000203747",-551.679894751559,173.566628371815,-14.7832317779545,2.05240208559926e-11,3.07005145304223e-09,-3.93176156242585
"ENSG00000150681",-159.728892260525,51.6280835484861,-14.7631779730357,2.09881542657609e-11,3.10254303940336e-09,-3.93191078507539
"ENSG00000196154",-1567.9630562799,889.851951228329,-14.7513310412362,2.12675215730677e-11,3.10728382053018e-09,-3.9319991956846
"ENSG00000140968",-326.816424521805,113.476667586117,-14.7190397601533,2.20490421133429e-11,3.18443924315119e-09,-3.93224114845843
"ENSG00000111716",-629.081583077278,334.728552285018,-14.7071439144329,2.23445134647265e-11,3.19044104186692e-09,-3.93233064166708
"ENSG00000101336",-995.436724564055,341.418604737474,-14.6245982192272,2.45130484875133e-11,3.46074667691691e-09,-3.93295702743823
"ENSG00000128294",-418.041465608413,148.328232521322,-14.5579205375091,2.64260899706781e-11,3.68937578312855e-09,-3.93346996753569
"ENSG00000143549",-974.539990026885,628.13025089221,-14.5236516278954,2.74698077931979e-11,3.79294653759925e-09,-3.9337360498328
"ENSG00000115165",-295.765951114342,96.7249624635732,-14.4284234561798,3.06042539485464e-11,4.14903673496639e-09,-3.93448435017715
"ENSG00000127084",-418.443987297344,153.771171966773,-14.425416723795,3.07091457502486e-11,4.14903673496639e-09,-3.93450819236064
"ENSG00000110077",-945.312003231692,347.00810658169,-14.401002283539,3.15749896591888e-11,4.18518307423881e-09,-3.93470228201664
"ENSG00000122694",-510.108578238525,185.15764950128,-14.3991186922955,3.16428485517459e-11,4.18518307423881e-09,-3.93471729272727
"ENSG00000138071",-234.007438361954,137.003566227957,-14.3050243941091,3.52357618498333e-11,4.61184737128287e-09,-3.93547387820497
"ENSG00000159339",-393.698160362431,123.707556347275,-14.2947873175442,3.56517660179874e-11,4.61819010325785e-09,-3.93555699427363
"ENSG00000167208",-372.643142428202,120.918281049462,-14.2562768501012,3.72635720394266e-11,4.74370173967536e-09,-3.93587109246593
"ENSG00000085514",-304.184896673321,95.8764047560098,-14.2536618191624,3.73757638064354e-11,4.74370173967536e-09,-3.93589250320929
"ENSG00000204482",-699.648169880461,238.447919243078,-14.2238395145069,3.86806433678784e-11,4.86022283917392e-09,-3.93613741795075
"ENSG00000008517",-544.213437941427,190.221445910701,-14.1871883508225,4.03502581221682e-11,4.98202887910851e-09,-3.9364402951811
"ENSG00000231389",-1880.59515230643,1010.59405301435,-14.1851983811026,4.04430517842473e-11,4.98202887910851e-09,-3.93645679954327
"ENSG00000116701",-643.695662991526,249.284778922798,-14.1544442596635,4.19060294332517e-11,5.11212873620202e-09,-3.93671265335923
