"hgnc_symbol","HGNC","Ensembl_ID","HC_1_SKIN","HC_2_SKIN","HC_3_SKIN","HC_4_SKIN","HC_5_SKIN","A_1_SKIN","A_2_SKIN","A_3_SKIN","A_4_SKIN","A_5_SKIN","A_6_SKIN","A_2_PBMC","A_3_PBMC","A_4_PBMC","A_5_PBMC","A_6_PBMC"
"PLAA","PLAA","ENSG00000137055",97.3630202716665,0.135733360750139,0.991367994180673,26.6261085024597,0.553990601101604,0.0379777390231962,41.8064016608243,63.3295524708056,0.0553842719026677,38.5522783061871,39.1070470624254,28.3427728248248,36.3785903286174,68.2095020667538,26.271343148064,93.019799358084
"IL11RA","IL11RA","ENSG00000137070",66.7547068651609,46.1493426550472,54.4351153168297,51.7029305832606,3.48222663549579,59.7389834834876,54.6060937355771,31.1258013207576,256.59533172506,72.5131675127019,49.0847011930785,0.0734268726031729,28.3916241827511,0.0807690965858541,0.0280078285160597,0.105624299044002
"UBAP2","UBAP2","ENSG00000137073",16.256944669214,11.6052023441369,16.4927584486421,42.0829428022637,19.5083833102208,40.4083143206807,24.3549696422378,30.2499670844593,0.166152815708003,29.882504475521,70.5132201313938,0.0734268726031729,15.9156332687701,6.54229682345418,6.41379273017768,1.58436448566002
"APTX","APTX","ENSG00000137074",100.816876648276,24.3641382546499,150.958308204784,107.225032345494,154.286382406797,67.752286417382,51.998749053683,63.5990399281281,144.663718209768,100.856658882187,1.74106716373812,100.411248284839,21.6289375190978,57.9922113486432,110.7429539525,58.3046130722888
"RNF38","RNF38","ENSG00000137075",0.297746239362894,42.4166752344184,34.2472579807869,44.5690070602742,12.3460762531215,37.5220061549178,36.4435677128376,26.7466301392658,1.27383825376136,42.0920084500686,55.781113361302,17.6224494247615,59.6981995136285,1.9384583180605,33.5253707337235,15.0338585639296
"TLN1","TLN1","ENSG00000137076",2.62016690639347,0.814400164500833,10.7247992097727,1.22501717061384,3.20523133494499,2.65844173162373,11.5552775674851,1.48218101527417,3.65536194557607,10.388338465739,4.41963203102753,76.4006609436014,47.2513581111288,47.8960742754115,48.9576842460724,3.73205856622139
"CCL21","CCL21","ENSG00000137077",210.566140477439,441.201289118326,138.431021732865,273.971487216107,218.034872290703,261.932466042984,223.431661888218,309.50634473498,323.056458008261,224.772864136472,49.6873782882186,0.550701544523797,0.466392183700223,0.363460934636343,0.476133084773015,0.352080996813338
"SIT1","SIT1","ENSG00000137078",0.0595492478725789,0,0,0.10808975034828,0,0.0379777390231962,0.829609671511751,0.0673718643306442,0,0.0256502184339236,0,23.9004470323328,24.3106925753741,16.6384338966859,28.119859830124,23.0260971915923
"DCTN3","DCTN3","ENSG00000137100",208.065072066791,295.220059631552,213.414491838167,269.936136536438,252.184435772894,274.806919571848,237.209108218681,373.038012798777,285.229000298739,117.837103485445,177.856707188017,119.832656088378,80.073708039032,227.041930502836,120.209599990928,131.114963213287
"CD72","CD72","ENSG00000137101",0.0595492478725789,0.0678666803750694,0,0,1.4641180171971,0,0,7.81513626235473,0,0,0.0669641216822354,34.0333554515707,0.495541695181487,36.3460934636343,60.7769878798496,38.4824529516979
